ID,createdate,closedate,contract_signed_at,spin_at,proposal_at,mrr,lost_reason,prob,country,drs,stage,paid_at,deals,spins,proposal,contract_signed,won,lost,size,no_show,lost_after_spin,paid_clinics,month_created,month_spin,month_proposal,month_contract,month_paid,month_closed,MRR number value,Drs - number value,True size
1529412917,2021-04-22,2021-05-13,2021-05-13,2021-04-22,2021-04-22,826,,,Italy,33,Closed won,,1,1,1,1,1,0,extra (>25),0,0,0,2021-04-01,2021-04-01,2021-04-01,2021-05-01,,2021-05-01,826,33,extra (>25)
2329943628,2021-01-01,2021-04-12,,2021-02-24,2021-02-24,195,Insufficient Funds,3,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-02-01,2021-02-01,,,2021-04-01,195,4,small (2-5)
3014951057,2020-12-01,2021-05-17,,,,315,Decision-maker Changed,,Italy,11,Closed lost [set-lost],,1,0,0,0,0,1,large (11-15),1,0,0,2020-12-01,,,,,2021-05-01,315,11,large (11-15)
3532265233,2021-03-02,2022-07-31,,2021-03-25,2021-03-25,5,Automatically closed (expired),50,Italy,5,Proposal Sent [closure],,1,1,1,0,0,0,small (2-5),0,0,0,2021-03-01,2021-03-01,2021-03-01,,,2022-07-01,5,5,small (2-5)
3987688857,2021-01-14,2021-05-05,,2021-01-14,2021-01-14,195,Insufficient Funds,3,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-05-01,195,4,small (2-5)
3992594492,2021-01-15,2021-04-01,,2021-01-15,2021-01-15,166,No Interest,3,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,166,3,small (2-5)
4010937406,2021-01-19,2021-01-25,,2021-01-19,2021-01-19,195,Insufficient Funds,2,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-01-01,195,4,small (2-5)
4013191929,2021-01-19,2021-04-22,,2021-03-29,2021-03-29,505,Insufficient Funds,,Italy,14,Closed lost [set-lost],,1,1,1,0,0,1,large (11-15),0,0,0,2021-01-01,2021-03-01,2021-03-01,,,2021-04-01,505,14,large (11-15)
4037930410,2021-01-25,2021-02-03,2021-02-02,2021-02-02,2021-02-02,224,,,Spain,5,Closed won,,1,1,1,1,1,0,small (2-5),0,0,0,2021-01-01,2021-02-01,2021-02-01,2021-02-01,,2021-02-01,224,5,small (2-5)
4038306167,2021-01-25,2021-02-08,,2021-01-25,2021-01-25,137,Price too high,2,Spain,2,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-02-01,137,2,small (2-5)
4042378793,2021-01-26,2021-02-02,,2021-01-26,2021-01-26,369,Insufficient Funds,2,Spain,10,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-02-01,369,10,medium (6-10)
4043107013,2021-01-26,2021-02-01,,2021-01-26,2021-01-26,166,Price too high,2,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-02-01,166,3,small (2-5)
4044160761,2021-01-26,2021-05-05,,2021-01-26,2021-01-26,137,Insufficient Funds,3,Spain,2,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-05-01,137,2,small (2-5)
4044785668,2021-01-26,2021-02-11,,,,0,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2021-01-01,,,,,2021-02-01,0,,
4047926651,2021-01-27,2021-05-05,,2021-01-27,2021-01-27,195,Insufficient Funds,2,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-05-01,195,4,small (2-5)
4054267814,2021-01-28,2021-06-02,,2021-02-01,2021-02-01,8.000,Sponsor Failed,,Poland,40,Closed lost [set-lost],,1,1,1,0,0,1,extra (>25),0,0,0,2021-01-01,2021-02-01,2021-02-01,,,2021-06-01,8.000,40,extra (>25)
1085111107,2021-02-16,2021-06-14,,2021-03-31,2021-03-31,724,Postponed,,Italy,35,Closed lost [set-lost],,1,1,1,0,0,1,extra (>25),0,0,0,2021-02-01,2021-03-01,2021-03-01,,,2021-06-01,724,35,extra (>25)
3148849017,2021-04-12,2021-05-28,,2021-04-15,2021-04-15,625,Postponed,,Italy,20,Closed lost [set-lost],,1,1,1,0,0,1,big (16-20),0,0,0,2021-04-01,2021-04-01,2021-04-01,,,2021-05-01,625,20,big (16-20)
3359596819,2020-12-01,2021-05-17,,,,244,Price too high,,Italy,5,Closed lost [set-lost],,1,0,0,0,0,1,small (2-5),1,0,0,2020-12-01,,,,,2021-05-01,244,5,small (2-5)
3728579679,2020-12-22,2021-06-05,,2021-02-03,2021-02-03,174,Automatically closed (expired),,Italy,6,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2020-12-01,2021-02-01,2021-02-01,,,2021-06-01,174,6,medium (6-10)
3730942678,2020-12-22,2021-10-08,,2021-03-10,2021-03-10,659,Insufficient Funds,3,Spain,20,Closed lost [set-lost],,1,1,1,0,0,1,big (16-20),0,0,0,2020-12-01,2021-03-01,2021-03-01,,,2021-10-01,659,20,big (16-20)
3936962015,2021-01-04,2022-09-30,,2022-04-09,2022-04-09,,Competitor,5,Italy,15,Proposal Sent [closure],,1,1,1,0,0,0,large (11-15),0,0,0,2021-01-01,2022-04-01,2022-04-01,,,2022-09-01,,15,large (11-15)
3974804716,2021-01-12,2021-04-01,,2021-01-12,2021-01-12,340,No Interest,3,Spain,9,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,340,9,medium (6-10)
3980604228,2021-01-13,2021-04-01,,2021-01-13,2021-01-13,166,No Interest,3,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,166,3,small (2-5)
4005421131,2021-01-18,2021-04-06,,2021-01-18,2021-01-18,108,No Interest,3,Spain,1,Closed lost [set-lost],,1,1,1,0,0,1,,0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,108,1,small (2-5)
4006275498,2021-01-18,2021-02-12,2021-02-09,2021-02-03,2021-02-03,315,,,Italy,9,Closed won,,1,1,1,1,1,0,medium (6-10),0,0,0,2021-01-01,2021-02-01,2021-02-01,2021-02-01,,2021-02-01,315,9,medium (6-10)
4011236720,2021-01-19,2021-03-15,2021-02-25,2021-02-03,2021-02-03,369,,,Italy,18,Closed won,,1,1,1,1,1,0,big (16-20),0,0,0,2021-01-01,2021-02-01,2021-02-01,2021-02-01,,2021-03-01,369,18,big (16-20)
4016645074,2021-01-20,2021-04-06,,2021-01-20,2021-01-20,108,No Interest,3,Spain,1,Closed lost [set-lost],,1,1,1,0,0,1,,0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,108,1,small (2-5)
4016755427,2021-01-20,2021-01-20,,2021-01-20,2021-01-20,108,Insufficient Funds,2,Spain,1,Closed lost [set-lost],,1,1,1,0,0,1,,0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-01-01,108,1,small (2-5)
4016758809,2021-01-20,2021-03-09,,2021-01-20,2021-01-20,195,Insufficient Funds,3,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-03-01,195,4,small (2-5)
4026375153,2021-01-22,2021-04-06,,2021-01-22,2021-01-22,311,Competitor,3,Spain,8,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,311,8,medium (6-10)
4027001337,2021-01-22,2021-04-01,,2021-01-22,2021-01-22,224,No Interest,3,Spain,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2021-01-01,2021-01-01,2021-01-01,,,2021-04-01,224,5,small (2-5)
4054840519,2021-01-28,2021-02-19,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2021-01-01,,,,,2021-02-01,,,
4058325376,2021-01-29,2021-02-08,,2021-01-29,,243,Price too high,,Italy,6,Closed lost [set-lost],,1,1,0,0,0,1,medium (6-10),0,1,0,2021-01-01,2021-01-01,,,,2021-02-01,243,6,medium (6-10)
4078390061,2021-02-03,2021-05-28,,2021-02-03,2021-02-03,472,Postponed,,Italy,17,Closed lost [set-lost],,1,1,1,0,0,1,big (16-20),0,0,0,2021-02-01,2021-02-01,2021-02-01,,,2021-05-01,472,17,big (16-20)
